OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,FACILITYID,LOCDESC,OBJECTID_hydstra,station
94,94,30,17584.40611,94,{DAFB1937-6B89-47F5-9A8E-6794E0C69EF3},F19-7789-1,,30,ELTORO
95,95,93,17264.89826,95,{088BEB5B-B3FA-4FD7-B1C3-EA1649CDFB61},F19-8100-1,,93,TUCKER
96,96,30,13317.27287,96,{30940C54-014E-445F-97C5-D3515FFA6CB8},F19-8403-3,,30,ELTORO
97,97,30,11250.39266,97,{5D2DA69B-65BA-412A-8037-DD1EA7853DCC},F19-7942-1,,30,ELTORO
98,98,30,10799.07738,98,{67BE22BE-945B-4DC0-915B-0AC839DBC595},F19-7942-2,,30,ELTORO
99,99,30,8765.665008,99,{BC785B88-777A-441C-A6AB-A69420A890EB},F19-8503-1,,30,ELTORO
100,100,30,8487.66583,100,{F793CDC8-27D0-41F1-9E44-F06EB092184B},F19-8587-1,,30,ELTORO
101,101,30,7629.430155,101,{E7FE8569-8C2A-4BEB-9B68-F154318EBDFF},F19-7261-1,,30,ELTORO
102,102,30,7578.86422,102,{D84B5903-CA1A-4E39-83FB-0D9A21AA6E77},F19-7261-2,,30,ELTORO
103,103,30,20098.83557,103,{9A50D575-FFD5-41A9-B523-61D9221779CD},I01-11343-2 (I02P18),I02P18 Bahia Blanca ,30,ELTORO
104,104,42,19968.87766,104,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},I01-11503-3,,42,LAGUNABEACH
105,105,42,20012.88942,105,{DC6652FF-B6B9-477F-B8FC-2544DA8985BA},I01-11503-1,,42,LAGUNABEACH
106,106,42,7148.933638,106,{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},I01-11093-2,,42,LAGUNABEACH
107,107,42,911.222345,107,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},I01-11015-2,Left pipe,42,LAGUNABEACH
108,108,42,1747.351733,108,{5950041F-4A9F-49ED-994B-C50CD46C105C},I01-11487-1,,42,LAGUNABEACH
109,109,42,1790.820879,109,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},I01-11487-2,,42,LAGUNABEACH
110,110,42,3041.05695,110,{171AC70D-B722-42FD-9ADA-813B331846A7},I00-11453-1,Cleo (I02P02),42,LAGUNABEACH
111,111,42,1988.926337,111,{0430234A-5558-4ABE-8641-CADA1ADA1BC5},LC06-11019-2,Main beach Laguna,42,LAGUNABEACH
112,112,42,3064.927507,112,{33142BAF-4557-481B-875A-E7A3CFFBFCB1},LC06-11509-2,Heisler Rockpile Beach,42,LAGUNABEACH
113,113,42,3712.963493,113,{B9F491F5-EA94-4C62-9749-FF5934F6CB9E},LC06-11509-1,Heisler,42,LAGUNABEACH
114,114,42,4360.213991,114,{39B42BE3-2E3A-4C89-B9C2-10A02F3B465A},LC02-11508-2,fisherman cove,42,LAGUNABEACH
115,115,42,4507.22815,115,{E5CFCDE1-7BAE-4901-A42D-4AD15D2A7198},LC02-11508-1,Fisherman cove,42,LAGUNABEACH
116,116,42,6182.980963,116,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},I00-11518-1,BLUBRD,42,LAGUNABEACH
117,117,42,5444.869991,117,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},I00-11437-1,,42,LAGUNABEACH
118,118,42,5103.646635,118,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},I00-11468-1,Bluebird Canyon Ln,42,LAGUNABEACH
119,119,42,9234.895725,119,{16A35176-6475-42BD-B219-3F6E453EAFF9},LC03-11455-1,,42,LAGUNABEACH
120,120,42,7566.852478,120,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},I01-11077-2,,42,LAGUNABEACH
121,121,42,10957.44001,121,{2EB8A685-290A-4ED8-B24F-0FA0D91C0A22},I01-11109-1,,42,LAGUNABEACH
122,122,42,20780.72202,122,{C081E89B-5CDA-439B-97FB-CCA6D19E46F4},I01-11502-1,,42,LAGUNABEACH
123,123,30,20637.70403,123,{70EE0AAA-D500-4075-9013-822E6A859B00},I01-11502-2,,30,ELTORO
124,124,30,20179.35637,124,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},I01-11216-1 (I02P13),I02P13,30,ELTORO
125,125,30,20169.00503,125,{3E6152B4-AA12-4483-A315-F2A09982301C},I01-11216-2 (I02P12),I02P12,30,ELTORO
126,126,30,20139.64453,126,{DB80E054-4D2C-4D53-8065-26F13D35FE95},I01-11216-3,,30,ELTORO
127,127,30,20011.45434,127,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},I01-11216-4 (I02P14),I02P14,30,ELTORO
128,128,30,20198.48484,128,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},I01-11217-1,,30,ELTORO
129,129,24,26990.79432,129,{8A0FEF34-0DE6-4AF1-B1AB-92EF23F35237},SC02-072-1,,24,PALISADES
130,130,24,25222.98354,130,{DF47329E-F77E-4599-B57A-8EFF91BAFFDD},SC03-067-2,,24,PALISADES
131,131,24,24690.70563,131,{DE2C9C7C-1EC0-4399-BB37-7C16CCCA15B9},SC04-090-1 (M00S05),M00S05,24,PALISADES
132,132,24,24739.8798,132,{F00D1386-0BD2-47E9-BB27-849EC6EB3B4C},SC04-090-2 (M00S05),M00S05,24,PALISADES
133,133,24,23544.91386,133,{D7B69E59-C893-43BC-BCD9-DE0F3CA1D33B},M00.1-071-1 (M00S04),M00S04,24,PALISADES
134,134,24,23438.44115,134,{8E421913-F6B8-41F6-B51D-B3916452A11D},M00.1-071-2 (M00S04),M00S04,24,PALISADES
135,135,24,22333.45681,135,{BA45F332-A94D-4D87-A061-4F0DFA9237AB},M00.1-070-1,,24,PALISADES
136,136,24,22328.96376,136,{124D173A-326D-44F2-984D-99EDBEB66658},M00.1-070-2,,24,PALISADES
137,137,24,21870.99746,137,{A8C3A9D9-CAAA-442E-9D37-D220C50F2F69},M00.1-070-4,San Clemente,24,PALISADES
138,138,24,21952.06479,138,{99C106FF-42C9-4E09-9F9D-F0122873E0B9},M00.1-070-3,6x6 box channel San Clemente,24,PALISADES
139,139,24,23313.16799,139,{564BA613-62BA-484C-8F8D-10DB77A3916D},M00.1-071-3 (M00S04),M00S04,24,PALISADES
140,140,24,23552.52184,140,{CE5F1A41-58E7-4E58-AD13-8F4DE72B6F30},M00.1-071-4 (M00S04),M00S04,24,PALISADES
141,141,24,21398.19188,141,{665C8249-2626-4CF7-81EA-645A6B98A96D},SC05-073-1,La Ladera at Boca del Canon,24,PALISADES
142,142,24,20384.92196,142,{CF4AC0E7-76D8-46E8-A904-70996F12535D},SC05-073-2,,24,PALISADES
143,143,24,20840.44654,143,{42902E2B-56C6-4060-A36D-AEA18B64156E},SC05-073-3,,24,PALISADES
144,144,24,18393.92978,144,{8EA7D45C-F7B0-4458-86E9-AD604FC84803},SC12-068-4,,24,PALISADES
145,145,24,18364.80284,145,{34FE086A-AC14-4ADD-953A-49394731BB44},SC12-068-3,,24,PALISADES
