JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ORANGE CO,40026133.00551573,Total,"Iron, Total",238.65277777777777,ug/L,9552347825.469122,596.333098697164
ORANGE CO,40026133.00551573,Dissolved,"Iron, Total",238.65277777777777,ug/L,9552347825.469122,596.333098697164
ORANGE CO,40026133.00551573,Total,"Lead, Total",0.20961904761904762,ug/L,8390239.880489536,0.5237851299137686
ORANGE CO,40026133.00551573,Dissolved,"Lead, Total",0.20961904761904762,ug/L,8390239.880489536,0.5237851299137686
ORANGE CO,40026133.00551573,Total,"Magnesium, Total",50.92619047619048,ug/L,2038378473.4642286,127.25170540351652
ORANGE CO,40026133.00551573,Dissolved,"Magnesium, Total",50.92619047619048,ug/L,2038378473.4642286,127.25170540351652
ORANGE CO,40026133.00551573,Total,"Manganese, Total",266.3735632183908,ug/L,10661903670.532463,665.600349780714
ORANGE CO,40026133.00551573,Dissolved,"Manganese, Total",266.3735632183908,ug/L,10661903670.532463,665.600349780714
ORANGE CO,40026133.00551573,Total,MBAS,0.03483823529411765,mg/L,1394439.8395598056,87.051963105273245
ORANGE CO,40026133.00551573,Dissolved,MBAS,0.03483823529411765,mg/L,1394439.8395598056,87.051963105273245
ORANGE CO,40026133.00551573,Total,"Mercury, Total",0.030500000000000003,ug/L,1220797.0566682299,0.07621180729435911
ORANGE CO,40026133.00551573,Dissolved,"Mercury, Total",0.030500000000000003,ug/L,1220797.0566682299,0.07621180729435911
ORANGE CO,40026133.00551573,Total,"Nickel, Total",36.858333333333334,ug/L,1475296552.361634,92.0996785964345
ORANGE CO,40026133.00551573,Dissolved,"Nickel, Total",36.858333333333334,ug/L,1475296552.361634,92.0996785964345
ORANGE CO,40026133.00551573,Total,"Selenium, Total",13.871666666666666,ug/L,555229175.0081791,34.66179629021589
ORANGE CO,40026133.00551573,Dissolved,"Selenium, Total",13.871666666666666,ug/L,555229175.0081791,34.66179629021589
ORANGE CO,40026133.00551573,Total,"Silver, Total",0.1,ug/L,4002613.3005515733,0.24987477801429214
ORANGE CO,40026133.00551573,Dissolved,"Silver, Total",0.1,ug/L,4002613.3005515733,0.24987477801429214
ORANGE CO,40026133.00551573,Total,"Thallium, Total",0.10533333333333333,ug/L,4216086.009914324,0.263201432841721
ORANGE CO,40026133.00551573,Dissolved,"Thallium, Total",0.10533333333333333,ug/L,4216086.009914324,0.263201432841721
ORANGE CO,40026133.00551573,Total,Total Organic Carbon (TOC),3.518452380952381,mg/L,140830042.9735735,8791.725076443337
ORANGE CO,40026133.00551573,Dissolved,Total Organic Carbon (TOC),3.518452380952381,mg/L,140830042.9735735,8791.725076443337
