FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall
J01-9005-3,LAGUNA NIGUEL,0.017875000000000002,0.303774,NA,0.20960405999999998,0.017875000000000002,1544.4,NA,NA,NA,NA,NA,1544.4
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,0.004,0.02678,0.02987707,0.0184782,0.02987707,2581.378848,0,NA,0,NA,NA,0
J03-9234-6,LAGUNA NIGUEL,0.04566666666666667,1.108261,0.1147496,0.7647000899999999,0.1147496,9914.365440000001,0.037,NA,3196.7999999999997,NA,NA,3196.7999999999997
M02-061-4 (SCBS@M02),SAN CLEMENTE,0.002,0.016817,0.018287069999999996,0.011603729999999998,0.018287069999999996,1580.0028479999996,NA,NA,NA,NA,NA,1580.0028479999996
L03-316-1,MISSION VIEJO,0.00825,0.036202,0.0015,0.024979379999999995,0.0015,129.6,NA,NA,NA,NA,NA,129.6
J03-9215-3,LAGUNA NIGUEL,0.0154,0.04731,0.06563211,0.032643899999999997,0.06563211,5670.614304,0.029,NA,2505.6000000000004,NA,NA,2505.6000000000004
L03-316-4,MISSION VIEJO,0.0023333333333333335,0.019996,0.0035,0.013797239999999999,0.0035,302.4,NA,NA,NA,NA,NA,302.4
J01-9082-4,ALISO VIEJO,0.0077,0.023004,0.017333333333333333,0.01587276,0.017333333333333333,1497.6000000000001,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996
L03-708-13,LAGUNA NIGUEL,0.007,0.056238,0.09127285499999999,0.03880422,0.09127285499999999,7885.974671999999,NA,0.012916666666666667,NA,1116,4500.987336,4500.987336
J01-9008-1 (J01P30),ALISO VIEJO,0.02542857142857143,0.05744,0.0295,0.0396336,0.0295,2548.8,NA,NA,NA,NA,NA,2548.8
J01-9005-1 (J03P05),LAGUNA NIGUEL,0.012714285714285714,0.034405,0.028750229999999998,0.023739449999999995,0.028750229999999998,2484.019872,0.009,NA,777.5999999999999,NA,NA,777.5999999999999
L01-760-2,ORANGE CO,0.0655,0.075871,0.06021837,0.05235098999999999,0.06021837,5202.867168000001,NA,0.022335069444444446,NA,1929.75,3566.3085840000003,3566.3085840000003
J05-9800-2,LAGUNA HILLS,0,0,0,0,0,0,0,NA,0,NA,NA,0
SC09-081-2d,SAN CLEMENTE,0.031,0.075564,0.058092664999999995,0.05213916,0.058092664999999995,5019.2062559999995,NA,NA,NA,NA,NA,5019.2062559999995
L03-241-3,MISSION VIEJO,0.141,0.329327,0.134256,0.22723562999999997,0.134256,11599.718399999998,NA,NA,NA,NA,NA,11599.718399999998
L01-728-5 (L01-DP),DANA POINT,0.0064,0.011925,0.007295779999999999,0.00822825,0.007295779999999999,630.3553919999999,NA,NA,NA,NA,NA,630.3553919999999
J01-9349-1,LAKE FOREST,1.1111111111111112e-4,0.005148,NA,0.0035521199999999998,1.1111111111111112e-4,9.600000000000001,NA,NA,NA,NA,NA,9.600000000000001
L03-316-2,MISSION VIEJO,0.004,0.023061,0.006,0.01591209,0.006,518.4,NA,NA,NA,NA,NA,518.4
L01-749-3,SAN JUAN CAPISTRANO,0.003,0,0.003,0,0.003,259.2,NA,NA,NA,NA,NA,259.2
J01-10004-1 (J01P01),LAKE FOREST,0.053375,0.317684,0.1282615825,0.21920196,0.1282615825,11081.800728,0.044,NA,3801.5999999999995,NA,NA,3801.5999999999995
L02-541-9 (L02P02),SAN JUAN CAPISTRANO,0.004,0.048641,NA,0.033562289999999995,0.004,345.59999999999997,NA,NA,NA,NA,NA,345.59999999999997
L05-489-7,ORANGE CO,0.02575,0.093075,0.031,0.06422175,0.031,2678.3999999999996,NA,0.031299802123205524,NA,2704.3029034449573,2691.3514517224785,2691.3514517224785
I01-11195-2,ALISO VIEJO,0.08,0.325428,0.21853749999999997,0.22454532,0.21853749999999997,18881.64,NA,NA,NA,NA,NA,18881.64
L01-728-3 (L01S02),DANA POINT,0.017,0.426948,0.22153519499999996,0.29459411999999996,0.22153519499999996,19140.640847999995,NA,0.032533325527171295,NA,2810.8793255476,10975.760086773798,10975.760086773798
L02-641-2,RANCHO SANTA MARGARITA,0.058666666666666666,0.339039,0.07033333333333333,0.23393690999999997,0.07033333333333333,6076.799999999999,NA,0.017329861111111112,NA,1497.3000000000002,NA,1497.3000000000002
L02-641-2,RANCHO SANTA MARGARITA,0.058666666666666666,0.339039,0.07033333333333333,0.23393690999999997,0.07033333333333333,6076.799999999999,0.203,NA,17539.2,NA,NA,17539.2
