FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE,area_acres,JURISDICTI
L01-728-3 (L01S02),DANA POINT,88.47208988,88.46485258,8.724176507,1014.01862168,DANA POINT
L01-728-3 (L01S02),SAN CLEMENTE,2.063264316,2.063255511,0.203472958,1014.01862168,DANA POINT
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,923.4920703,923.4914094,91.07235047,1014.01862168,DANA POINT
L01-728-5 (L01-DP),DANA POINT,24.72576949,24.72374684,100,24.72372499,DANA POINT
L01-728-6,DANA POINT,4.466273545,4.465908189,100,4.46590424,DANA POINT
L01-728-7 (L01S03),DANA POINT,10.13690817,10.13607894,5.459020382,185.67562068,DANA POINT
L01-728-7 (L01S03),SAN JUAN CAPISTRANO,175.5398313,175.5397057,94.5409795,185.67562068,DANA POINT
L01-730-1,ORANGE CO,7.098935326,4.17692253,12.81955962,32.58238943,RANCHO SANTA MARGARITA
L01-730-1,RANCHO SANTA MARGARITA,28.4054943,28.40549569,87.18044032,32.58238943,RANCHO SANTA MARGARITA
L01-731-1 (L08TBN2),ORANGE CO,109.0067185,64.13815558,5.866443295,1093.30467632,RANCHO SANTA MARGARITA
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,1029.167436,1029.167486,94.13355663,1093.30467632,RANCHO SANTA MARGARITA
L01-733-2,ORANGE CO,202.8683486,119.3651353,99.1163795,120.42916661,ORANGE CO
L01-733-2,RANCHO SANTA MARGARITA,1.064137696,1.064137748,0.883620502,120.42916661,ORANGE CO
L01-733-4,ORANGE CO,86.14627093,50.68736133,100,50.68731652,ORANGE CO
L01-747-1,SAN JUAN CAPISTRANO,132.6157391,132.6156442,100,132.61552692,SAN JUAN CAPISTRANO
L01-747-2,ORANGE CO,73.38733717,43.18016829,17.94560662,240.61672041,SAN JUAN CAPISTRANO
L01-747-2,SAN JUAN CAPISTRANO,197.4369061,197.4367648,82.05439338,240.61672041,SAN JUAN CAPISTRANO
L01-748-1,SAN JUAN CAPISTRANO,99.9181037,99.91803219,100,99.91794386,SAN JUAN CAPISTRANO
L01-749-3,SAN JUAN CAPISTRANO,41.9301845,41.93015449,100,41.93011742,SAN JUAN CAPISTRANO
L01-760-1,ORANGE CO,56.95310989,33.51047967,100,33.51045004,ORANGE CO
L01-760-2,ORANGE CO,55.36208794,32.57434275,100,32.57431395,ORANGE CO
L01-766-2 (L01S06),SAN JUAN CAPISTRANO,245.4066175,245.4064419,99.99999998,245.40622496,SAN JUAN CAPISTRANO
L01-766-3,SAN JUAN CAPISTRANO,369.9807874,369.9805227,100,369.98019559,SAN JUAN CAPISTRANO
L01-766-4,SAN JUAN CAPISTRANO,25.87307346,25.87305495,100,25.87303207,SAN JUAN CAPISTRANO
