JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA NIGUEL,Total,Azinphos Methyl,0.004320702210060738,0.013968185408906807,0.018288887618967544
ALISO VIEJO,Total,Azinphos Methyl,8.613591878047908e-4,0.0011846089179305282,0.002045968105735319
LAGUNA NIGUEL,Dissolved,Azinphos Methyl,0,0.013968185408906807,0.013968185408906807
ALISO VIEJO,Dissolved,Azinphos Methyl,0,0.0011846089179305282,0.0011846089179305282
ORANGE CO,Total,Azinphos Methyl,0.005082895143111743,0.005879406541512756,0.0109623016846245
ORANGE CO,Dissolved,Azinphos Methyl,0,0.005879406541512756,0.005879406541512756
LAGUNA HILLS,Total,Azinphos Methyl,2.8704673381990626e-4,0.0015455105908428858,0.0018325573246627922
LAGUNA HILLS,Dissolved,Azinphos Methyl,0,0.0015455105908428858,0.0015455105908428858
DANA POINT,Total,Azinphos Methyl,0.0013740611316284451,0.001303785034770549,0.002677846166398994
SAN JUAN CAPISTRANO,Total,Azinphos Methyl,0.0013309402410841946,0.004049885394412233,0.005380825635496428
DANA POINT,Dissolved,Azinphos Methyl,0,0.001303785034770549,0.001303785034770549
SAN JUAN CAPISTRANO,Dissolved,Azinphos Methyl,0,0.004049885394412233,0.004049885394412233
SAN CLEMENTE,Total,Azinphos Methyl,0.005970915679332644,0.003912097341230951,0.009883013020563595
SAN CLEMENTE,Dissolved,Azinphos Methyl,0,0.003912097341230951,0.003912097341230951
LAGUNA BEACH,Total,Azinphos Methyl,0.001164377922180224,4.444520996799756e-4,0.0016088300218601995
LAGUNA BEACH,Dissolved,Azinphos Methyl,0,4.444520996799756e-4,4.444520996799756e-4
LAKE FOREST,Total,Benz[a]anthracene,3.121398679041547e-4,1.1158119654030165e-4,4.2372106444445634e-4
LAKE FOREST,Dissolved,Benz[a]anthracene,0,1.1158119654030165e-4,1.1158119654030165e-4
MISSION VIEJO,Dissolved,Benz[a]anthracene,0,0.00124251013403337,0.00124251013403337
MISSION VIEJO,Total,Benz[a]anthracene,0.004585300032092506,0.00124251013403337,0.005827810166125876
LAGUNA WOODS,Total,Benz[a]anthracene,2.6974768104342465e-4,0,2.6974768104342465e-4
