FACILITYID,ObsRecordDate,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,date,rain_gage,wet_within_72,GlobalID,QInscfsV,QInscfsF,QInscfsFadj,QInscfs,MonitoringYear,QIns_Day,QInscf
L01-748-1,2023-06-05T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-06-05,PALISADES,FALSE,{A91AE436-24A4-4432-8197-13B5F01E53A6},0,0,0,0,MY2022-23,0,0
J05-9271-6,2023-07-27T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-07-27,SULPHURCREEK,FALSE,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},0,0,0,0,MY2022-23,0,0
L05-489-7,2023-06-27T00:00:00Z,NA,Flowing,Yes,NA,NA,0.019,2023-06-27,SULPHURCREEK,FALSE,{9BFA7A22-DD6F-4A84-9ABE-48063EA402CA},0.019,NA,NA,0.019,MY2022-23,1641.6,2678.3999999999996
M01-003-2,2023-09-14T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-14,PALISADES,FALSE,{96C849C0-B2F8-43B8-B2D5-8C4C360E9B0B},0,0,0,0,MY2022-23,0,0
L01-223-1 (L08TBN1),2023-06-22T00:00:00Z,NA,Flowing,Yes,NA,0.14944,0.035,2023-06-22,TRABUCO,FALSE,{920D2923-A87E-4A8C-864D-656B0F11E23F},0.035,0.14944,0.10311359999999999,0.035,MY2022-23,3024,1512
L01-517-7,2023-08-14T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-14,PALISADES,FALSE,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},0,0,0,0,MY2022-23,0,0
L03-241-3,2023-09-26T00:00:00Z,NA,Flowing,Yes,NA,0.385116,0.141,2023-09-26,ELTORO,FALSE,{8ED5573E-DFDE-4B76-A102-B5B1CF23353B},0.141,0.385116,0.26573004,0.141,MY2022-23,12182.4,11599.718399999998
SC12-068-4,2023-08-02T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-02,PALISADES,FALSE,{8EA7D45C-F7B0-4458-86E9-AD604FC84803},0,0,0,0,MY2022-23,0,0
J03-9234-8,2023-08-30T00:00:00Z,NA,Flowing,Yes,NA,0.075506,NA,2023-08-30,SULPHURCREEK,FALSE,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},NA,0.075506,0.052099139999999995,0.052099139999999995,MY2022-23,4501.365695999999,28264.929264000002
L01-494-1,2023-06-19T00:00:00Z,NA,Flowing,Yes,NA,NA,0.054,2023-06-19,PALISADES,FALSE,{8ACA8CDD-8242-491B-B115-35F97FCC3354},0.054,NA,NA,0.054,MY2022-23,4665.5999999999995,4665.5999999999995
