StationCode,Jurisdiction,VolumeDischargeCFS,HandMeterDischarge,AVGvDISCHARGE,AVGfmDISCHARGE,Qcalcs
ALISO_LAGUNA_HILLS,LAGUNA HILLS,0.313,NA,0.951,1.721,0.951
J07-9110-1,MISSION VIEJO,0.001,NA,0.001,NA,0.001
K01-12126-1 (K01S01),DANA POINT,NA,NA,0.122,NA,0.122
K01-12126-1 (K01S01),DANA POINT,0.155,NA,0.122,NA,0.122
K01-12126-1 (K01S01),DANA POINT,0.045,NA,0.122,NA,0.122
K01-12126-1 (K01S01),DANA POINT,0.166,NA,0.122,NA,0.122
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,NA,NA,NA,NA
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,NA,NA,NA,NA
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.023,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.016,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.014,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.053,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.025,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.029,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.03,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.03,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.026,NA,0.027,NA,0.027
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.024,NA,0.027,NA,0.027
L03-073-3,MISSION VIEJO,0.066,NA,0.066,NA,0.066
L03-708-11 (L03P05),LAGUNA NIGUEL,0.008,NA,0.0332,NA,0.0332
