Facility.Identifier,avgCnx,PERSISTENTFLOW,avgCnx2,,,,
L03-418-8,1,Yes,Direct,,,,
L03-455-2,1,Unknown,Direct,,,,
L03-455-3 (L03P37),0,Unknown,None,,,,
L03-455-4,0.75,Unknown,Partial,,,,
L03-455-5,1,Unknown,Direct,,,,
L03-455-6,0,Unknown,None,,,,
L03-455-7,1,Yes,Direct,,,,
L03-497-1,0.635,Unknown,Partial,,,,
L03-662-1,1,Yes,Direct,,,,
L03-662-3 (L03P16),0.635,Yes,Partial,,,,
L03-691-1 (L03P09),0.75,Yes,Partial,,,,
L03-693-1 (L03P11),1,Yes,Direct,,,,
L03-708-1,1,Yes,Direct,,,,
L03-708-11 (L03P05),1,Yes,Direct,,,,
L03-708-13,1,Yes,Direct,,,,
L03-708-5,0,Unknown,None,,,,
L03-708-9,1,Yes,Direct,,,,
L04-136-1u (L04P07),0.635,Yes,Partial,,,,
L04-266-1,1,Yes,Direct,,,,
L04-266-5,1,Yes,Direct,,,,
L04-301-1 (L04P08),0.77,Yes,Unknown,,,,
L04-672-1,0.816,Yes,Partial,,,,
L04-702-1 (L04P02),0.885,Yes,Partial,,,,
L04-702-4,0,Unknown,None,,,,
L05-049-1,1,Yes,Direct,,,,
L05-049-2,1,Yes,Direct,,,,
L05-489-3,1,Yes,Direct,,,,
L05-489-3d,1,Yes,Direct,,,,
L05-489-4,1,Yes,Direct,,,,
L05-489-7,0.885,Yes,Partial,,,,
L05-503-1,1,Yes,Direct,,,,
LC01-11446-1,0,Yes,None,,,,
LC01-11480-1,0.885,Yes,Partial,,,,
LC02-11508-2,0.635,Yes,Partial,,,,
LC02-11508-3,0.385,Unknown,Partial,,,,
LC03-11515-1,0.256666667,Unknown,Partial,,,,
LC04-11199-1,0.77,Unknown,Unknown,,,,
LC05-11017-1,0.385,Unknown,Partial,,,,
LC05-11017-2,0,Yes,None,,,,
LC06-11019-1,1,Yes,Direct,,,,
LC06-11509-2,1,Yes,Direct,,,,
M00.1-070-4,0.77,Unknown,Unknown,,,,
M00.1-070-6,0.77,Unknown,Unknown,,,,
M00.1-071-2 (M00S04),0.77,Unknown,Unknown,,,,
