FACILITYID,AREA,area_acres,JURISDICTI3,acres_juris_soc,AcresJO,sumNA,PERCENTAGE,JURISDICTI2,Acres,JURISDICTI,AcresOb,PERCENT_o
J01-9264-1 (J01P06),627.0353599,680.93059513,LAKE FOREST,3303.943395,2320.512734174,0,92.08498047,LAKE FOREST,2024.364351,LAKE FOREST,627.0353599,18.97839293642015
J01-9273-1,1.590667771,30.68945533,LAGUNA HILLS,3498.38696,1941.488538748,1,5.183103927,LAGUNA HILLS,1.934269084,LAGUNA WOODS,1.590667771,0.04546860565133138
J01-9273-1,29.09881518,30.68945533,LAGUNA WOODS,756.0075789,696.20500044,0,94.81689767,LAGUNA WOODS,67.54665774,LAGUNA WOODS,29.09881518,3.8490110406484446
J01-9275-1,27.00260807,27.09901317,LAKE FOREST,3303.943395,2320.512734174,0,99.64416058,LAKE FOREST,87.17708866,LAKE FOREST,27.00260807,0.81728422196531
J01-9275-1,0.09642963,27.09901317,MISSION VIEJO,11525.93439,7216.746164301,6,0.355841536,MISSION VIEJO,0.096430085,LAKE FOREST,0.09642963,8.366317795775688e-4
J01-9275-2,40.60686876,42.7322098,LAKE FOREST,3303.943395,2320.512734174,0,95.02628824,LAKE FOREST,131.0980254,LAKE FOREST,40.60686876,1.2290425078544664
J01-9275-2,2.1253788240000002,42.7322098,MISSION VIEJO,11525.93439,7216.746164301,6,4.973711762,MISSION VIEJO,2.125388846,LAKE FOREST,2.1253788240000002,0.018439969828771517
J01-9313-1,136.3028343,137.37665275,ALISO VIEJO,4298.475849,3530.302268142,2,99.21825221,ALISO VIEJO,140.2172729,ALISO VIEJO,136.3028343,3.1709573134326106
J01-9313-1,1.073938299,137.37665275,ORANGE CO,94761.16102,11899.378947256,16,0.781746628,ORANGE CO,1.073942056,ALISO VIEJO,1.073938299,0.0011333106173882124
J01-9349-1,69.60348856,69.7067491,LAKE FOREST,3303.943395,2320.512734174,0,99.85177608,LAKE FOREST,224.7127195,LAKE FOREST,69.60348856,2.106679208406959
J01-9349-1,0.103321986,69.7067491,MISSION VIEJO,11525.93439,7216.746164301,6,0.14822366,MISSION VIEJO,0.103322473,LAKE FOREST,0.103321986,8.964304541733558e-4
J01-9364-3 (J01P21),167.5344063,167.87337148,ALISO VIEJO,4298.475849,3530.302268142,2,99.79799461,ALISO VIEJO,172.3457747,ORANGE CO,167.5344063,3.8975304779012605
J01-9364-3 (J01P21),0.33848462,167.87337148,LAGUNA NIGUEL,9463.773977,7019.695595841,3,0.20163074,LAGUNA NIGUEL,0.338490288,ORANGE CO,0.33848462,0.0035766346578291705
J01-9364-3 (J01P21),6.2912e-4,167.87337148,ORANGE CO,94761.16102,11899.378947256,16,3.74759e-4,ORANGE CO,6.29123e-4,ORANGE CO,6.2912e-4,6.6390068803317e-7
J01-9364-4,41.82098851,42.33257611,ALISO VIEJO,4298.475849,3530.302268142,2,98.79141639,ALISO VIEJO,43.02203244,ORANGE CO,41.82098851,0.9729259853752408
J01-9364-4,0.511624746,42.33257611,ORANGE CO,94761.16102,11899.378947256,16,1.208582942,ORANGE CO,0.511626536,ORANGE CO,0.511624746,5.399097483535665e-4
J01-9377-1,33.78355736,34.4468196,LAKE FOREST,3303.943395,2320.512734174,0,98.07444602,LAKE FOREST,109.0691746,LAKE FOREST,33.78355736,1.0225222808334464
J01-9377-1,0.663292241,34.4468196,MISSION VIEJO,11525.93439,7216.746164301,6,1.925552671,MISSION VIEJO,0.663295369,LAKE FOREST,0.663292241,0.005754780641259575
J01-9377-2 (J01TBN8),66.32835854,98.41839547,LAKE FOREST,3303.943395,2320.512734174,0,67.39420978,LAKE FOREST,214.1390631,LAKE FOREST,66.32835854,2.0075512988623703
J01-9377-2 (J01TBN8),32.09012396,98.41839547,MISSION VIEJO,11525.93439,7216.746164301,6,32.60579025,MISSION VIEJO,32.09027528,LAKE FOREST,32.09012396,0.2784166808015293
J01-9782-1 (J01TBN3),13.98035778,30.80686795,LAKE FOREST,3303.943395,2320.512734174,0,45.38061266,LAKE FOREST,45.13515458,LAKE FOREST,13.98035778,0.42314156474826653
J01-9782-1 (J01TBN3),16.82653807,30.80686795,MISSION VIEJO,11525.93439,7216.746164301,6,54.6193895,MISSION VIEJO,16.82661742,LAKE FOREST,16.82653807,0.14598849430028726
J01-9785-1,21.25659341,21.25657462,LAKE FOREST,3303.943395,2320.512734174,0,100,LAKE FOREST,68.62625727,LAKE FOREST,21.25659341,0.6433703871007149
