JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
RANCHO SANTA MARGARITA,Total,Benz[a]anthracene,1.1111111111111112,ng/L
RANCHO SANTA MARGARITA,Dissolved,Benz[a]anthracene,1.1111111111111112,ng/L
LAGUNA NIGUEL,Total,Benz[a]anthracene,1.25,ng/L
ALISO VIEJO,Total,Benz[a]anthracene,1.2037037037037037,ng/L
LAGUNA NIGUEL,Dissolved,Benz[a]anthracene,1.25,ng/L
ALISO VIEJO,Dissolved,Benz[a]anthracene,1.2037037037037037,ng/L
ORANGE CO,Total,Benz[a]anthracene,1.1519607843137256,ng/L
ORANGE CO,Dissolved,Benz[a]anthracene,1.1519607843137256,ng/L
LAGUNA HILLS,Total,Benz[a]anthracene,1.25,ng/L
LAGUNA HILLS,Dissolved,Benz[a]anthracene,1.25,ng/L
DANA POINT,Total,Benz[a]anthracene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Benz[a]anthracene,1.25,ng/L
DANA POINT,Dissolved,Benz[a]anthracene,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Benz[a]anthracene,1.25,ng/L
SAN CLEMENTE,Total,Benz[a]anthracene,1.1111111111111112,ng/L
SAN CLEMENTE,Dissolved,Benz[a]anthracene,1.1111111111111112,ng/L
LAGUNA BEACH,Total,Benz[a]anthracene,1.25,ng/L
LAGUNA BEACH,Dissolved,Benz[a]anthracene,1.25,ng/L
LAKE FOREST,Total,Benzo[a]pyrene,1,ng/L
LAKE FOREST,Dissolved,Benzo[a]pyrene,1,ng/L
MISSION VIEJO,Dissolved,Benzo[a]pyrene,1.1538461538461537,ng/L
MISSION VIEJO,Total,Benzo[a]pyrene,1.1538461538461537,ng/L
LAGUNA WOODS,Total,Benzo[a]pyrene,1.25,ng/L
LAGUNA WOODS,Dissolved,Benzo[a]pyrene,1.25,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[a]pyrene,1.1111111111111112,ng/L
RANCHO SANTA MARGARITA,Dissolved,Benzo[a]pyrene,1.1111111111111112,ng/L
LAGUNA NIGUEL,Total,Benzo[a]pyrene,1.25,ng/L
ALISO VIEJO,Total,Benzo[a]pyrene,1.1574074074074074,ng/L
LAGUNA NIGUEL,Dissolved,Benzo[a]pyrene,1.25,ng/L
ALISO VIEJO,Dissolved,Benzo[a]pyrene,1.1574074074074074,ng/L
ORANGE CO,Total,Benzo[a]pyrene,1.1274509803921569,ng/L
ORANGE CO,Dissolved,Benzo[a]pyrene,1.1274509803921569,ng/L
LAGUNA HILLS,Total,Benzo[a]pyrene,1.25,ng/L
LAGUNA HILLS,Dissolved,Benzo[a]pyrene,1.25,ng/L
DANA POINT,Total,Benzo[a]pyrene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[a]pyrene,1.25,ng/L
DANA POINT,Dissolved,Benzo[a]pyrene,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Benzo[a]pyrene,1.25,ng/L
SAN CLEMENTE,Total,Benzo[a]pyrene,1.0416666666666667,ng/L
SAN CLEMENTE,Dissolved,Benzo[a]pyrene,1.0416666666666667,ng/L
LAGUNA BEACH,Total,Benzo[a]pyrene,1.25,ng/L
LAGUNA BEACH,Dissolved,Benzo[a]pyrene,1.25,ng/L
LAKE FOREST,Total,Benzo[b]fluoranthene,1,ng/L
LAKE FOREST,Dissolved,Benzo[b]fluoranthene,1,ng/L
MISSION VIEJO,Dissolved,Benzo[b]fluoranthene,1.1538461538461537,ng/L
MISSION VIEJO,Total,Benzo[b]fluoranthene,1.1538461538461537,ng/L
LAGUNA WOODS,Total,Benzo[b]fluoranthene,1.25,ng/L
LAGUNA WOODS,Dissolved,Benzo[b]fluoranthene,1.25,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[b]fluoranthene,1.0648148148148149,ng/L
RANCHO SANTA MARGARITA,Dissolved,Benzo[b]fluoranthene,1.0648148148148149,ng/L
LAGUNA NIGUEL,Total,Benzo[b]fluoranthene,1.25,ng/L
ALISO VIEJO,Total,Benzo[b]fluoranthene,1.1111111111111112,ng/L
LAGUNA NIGUEL,Dissolved,Benzo[b]fluoranthene,1.25,ng/L
ALISO VIEJO,Dissolved,Benzo[b]fluoranthene,1.1111111111111112,ng/L
ORANGE CO,Total,Benzo[b]fluoranthene,1.1910476190476191,ng/L
ORANGE CO,Dissolved,Benzo[b]fluoranthene,1.1910476190476191,ng/L
LAGUNA HILLS,Total,Benzo[b]fluoranthene,1.25,ng/L
LAGUNA HILLS,Dissolved,Benzo[b]fluoranthene,1.25,ng/L
DANA POINT,Total,Benzo[b]fluoranthene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[b]fluoranthene,1.25,ng/L
DANA POINT,Dissolved,Benzo[b]fluoranthene,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Benzo[b]fluoranthene,1.25,ng/L
SAN CLEMENTE,Total,Benzo[b]fluoranthene,1.1111111111111112,ng/L
SAN CLEMENTE,Dissolved,Benzo[b]fluoranthene,1.1111111111111112,ng/L
LAGUNA BEACH,Total,Benzo[b]fluoranthene,1.25,ng/L
LAGUNA BEACH,Dissolved,Benzo[b]fluoranthene,1.25,ng/L
LAKE FOREST,Total,"Benzo[g,h,i]perylene",3.0500000000000003,ng/L
MISSION VIEJO,Total,"Benzo[g,h,i]perylene",2.242,ng/L
LAKE FOREST,Dissolved,"Benzo[g,h,i]perylene",3.0500000000000003,ng/L
MISSION VIEJO,Dissolved,"Benzo[g,h,i]perylene",2.242,ng/L
LAGUNA WOODS,Total,"Benzo[g,h,i]perylene",1.25,ng/L
LAGUNA WOODS,Dissolved,"Benzo[g,h,i]perylene",1.25,ng/L
RANCHO SANTA MARGARITA,Total,"Benzo[g,h,i]perylene",1.0648148148148149,ng/L
RANCHO SANTA MARGARITA,Dissolved,"Benzo[g,h,i]perylene",1.0648148148148149,ng/L
LAGUNA NIGUEL,Total,"Benzo[g,h,i]perylene",1.25,ng/L
ALISO VIEJO,Total,"Benzo[g,h,i]perylene",1.6777777777777778,ng/L
LAGUNA NIGUEL,Dissolved,"Benzo[g,h,i]perylene",1.25,ng/L
ALISO VIEJO,Dissolved,"Benzo[g,h,i]perylene",1.6777777777777778,ng/L
ORANGE CO,Total,"Benzo[g,h,i]perylene",1.5721904761904761,ng/L
ORANGE CO,Dissolved,"Benzo[g,h,i]perylene",1.5721904761904761,ng/L
LAGUNA HILLS,Total,"Benzo[g,h,i]perylene",1.25,ng/L
LAGUNA HILLS,Dissolved,"Benzo[g,h,i]perylene",1.25,ng/L
DANA POINT,Total,"Benzo[g,h,i]perylene",1.25,ng/L
SAN JUAN CAPISTRANO,Total,"Benzo[g,h,i]perylene",1.25,ng/L
DANA POINT,Dissolved,"Benzo[g,h,i]perylene",1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,"Benzo[g,h,i]perylene",1.25,ng/L
SAN CLEMENTE,Total,"Benzo[g,h,i]perylene",1.0416666666666667,ng/L
SAN CLEMENTE,Dissolved,"Benzo[g,h,i]perylene",1.0416666666666667,ng/L
LAGUNA BEACH,Total,"Benzo[g,h,i]perylene",1.25,ng/L
LAGUNA BEACH,Dissolved,"Benzo[g,h,i]perylene",1.25,ng/L
LAKE FOREST,Total,Benzo[k]fluoranthene,1,ng/L
LAKE FOREST,Dissolved,Benzo[k]fluoranthene,1,ng/L
MISSION VIEJO,Dissolved,Benzo[k]fluoranthene,1.1538461538461537,ng/L
MISSION VIEJO,Total,Benzo[k]fluoranthene,1.1538461538461537,ng/L
LAGUNA WOODS,Total,Benzo[k]fluoranthene,1.25,ng/L
LAGUNA WOODS,Dissolved,Benzo[k]fluoranthene,1.25,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[k]fluoranthene,1.1111111111111112,ng/L
RANCHO SANTA MARGARITA,Dissolved,Benzo[k]fluoranthene,1.1111111111111112,ng/L
LAGUNA NIGUEL,Total,Benzo[k]fluoranthene,1.25,ng/L
ALISO VIEJO,Total,Benzo[k]fluoranthene,1.2037037037037037,ng/L
LAGUNA NIGUEL,Dissolved,Benzo[k]fluoranthene,1.25,ng/L
ALISO VIEJO,Dissolved,Benzo[k]fluoranthene,1.2037037037037037,ng/L
ORANGE CO,Total,Benzo[k]fluoranthene,1.1519607843137256,ng/L
ORANGE CO,Dissolved,Benzo[k]fluoranthene,1.1519607843137256,ng/L
LAGUNA HILLS,Total,Benzo[k]fluoranthene,1.25,ng/L
LAGUNA HILLS,Dissolved,Benzo[k]fluoranthene,1.25,ng/L
DANA POINT,Total,Benzo[k]fluoranthene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[k]fluoranthene,1.25,ng/L
