JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ORANGE CO,Total,Tokuthion (Prothiofos),ng/L,0.003527643924907654,0.003527643924907654
ORANGE CO,Dissolved,Tokuthion (Prothiofos),ng/L,0.003527643924907654,0.003527643924907654
ORANGE CO,Total,Toxaphene,ng/L,0.022238855243271998,0.022238855243271998
ORANGE CO,Dissolved,Toxaphene,ng/L,0.022238855243271998,0.022238855243271998
ORANGE CO,Total,trans-Nonachlor,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,trans-Nonachlor,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Trichloronate,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Trichloronate,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,"Arsenic, Total",ug/L,11.286754481913428,11.286754481913428
ORANGE CO,Dissolved,"Arsenic, Total",ug/L,11.286754481913428,11.286754481913428
ORANGE CO,Total,"Cadmium, Total",ug/L,11.72901796550003,11.72901796550003
ORANGE CO,Dissolved,"Cadmium, Total",ug/L,11.72901796550003,11.72901796550003
ORANGE CO,Total,"Calcium, Total",ug/L,264.78099840274,264.78099840274
ORANGE CO,Dissolved,"Calcium, Total",ug/L,264.78099840274,264.78099840274
ORANGE CO,Total,Chromium 6+,ug/L,0.6335209018342155,0.6335209018342155
ORANGE CO,Dissolved,Chromium 6+,ug/L,0.6335209018342155,0.6335209018342155
ORANGE CO,Total,"Chromium, Total",ug/L,2.2072272057929134,2.2072272057929134
ORANGE CO,Dissolved,"Chromium, Total",ug/L,2.2072272057929134,2.2072272057929134
ORANGE CO,Total,"Copper, Total",ug/L,15.646920623275912,15.646920623275912
ORANGE CO,Dissolved,"Copper, Total",ug/L,15.646920623275912,15.646920623275912
ORANGE CO,Total,Dissolved Organic Carbon,ug/L,8.205709228005057,8.205709228005057
ORANGE CO,Dissolved,Dissolved Organic Carbon,ug/L,8.205709228005057,8.205709228005057
ORANGE CO,Total,"Hardness as CaCO3, Total",ug/L,1185.150122722311,1185.150122722311
ORANGE CO,Dissolved,"Hardness as CaCO3, Total",ug/L,1185.150122722311,1185.150122722311
ORANGE CO,Total,"Iron, Total",ug/L,596.333098697164,596.333098697164
ORANGE CO,Dissolved,"Iron, Total",ug/L,596.333098697164,596.333098697164
ORANGE CO,Total,"Lead, Total",ug/L,0.5237851299137686,0.5237851299137686
ORANGE CO,Dissolved,"Lead, Total",ug/L,0.5237851299137686,0.5237851299137686
ORANGE CO,Total,"Magnesium, Total",ug/L,127.25170540351652,127.25170540351652
ORANGE CO,Dissolved,"Magnesium, Total",ug/L,127.25170540351652,127.25170540351652
ORANGE CO,Total,"Manganese, Total",ug/L,665.600349780714,665.600349780714
ORANGE CO,Dissolved,"Manganese, Total",ug/L,665.600349780714,665.600349780714
ORANGE CO,Total,MBAS,mg/L,87.051963105273245,87.051963105273245
ORANGE CO,Dissolved,MBAS,mg/L,87.051963105273245,87.051963105273245
ORANGE CO,Total,"Mercury, Total",ug/L,0.07621180729435911,0.07621180729435911
ORANGE CO,Dissolved,"Mercury, Total",ug/L,0.07621180729435911,0.07621180729435911
ORANGE CO,Total,"Nickel, Total",ug/L,92.0996785964345,92.0996785964345
ORANGE CO,Dissolved,"Nickel, Total",ug/L,92.0996785964345,92.0996785964345
ORANGE CO,Total,"Selenium, Total",ug/L,34.66179629021589,34.66179629021589
ORANGE CO,Dissolved,"Selenium, Total",ug/L,34.66179629021589,34.66179629021589
ORANGE CO,Total,"Silver, Total",ug/L,0.24987477801429214,0.24987477801429214
ORANGE CO,Dissolved,"Silver, Total",ug/L,0.24987477801429214,0.24987477801429214
ORANGE CO,Total,"Thallium, Total",ug/L,0.263201432841721,0.263201432841721
ORANGE CO,Dissolved,"Thallium, Total",ug/L,0.263201432841721,0.263201432841721
ORANGE CO,Total,Total Organic Carbon (TOC),mg/L,8791.725076443337,8791.725076443337
ORANGE CO,Dissolved,Total Organic Carbon (TOC),mg/L,8791.725076443337,8791.725076443337
ORANGE CO,Total,"Zinc, Total",ug/L,44.66257719222937,44.66257719222937
ORANGE CO,Dissolved,"Zinc, Total",ug/L,44.66257719222937,44.66257719222937
ORANGE CO,Total,"Ammonia, as Nitrogen",mg/L,476.30892209105303,476.30892209105303
ORANGE CO,Dissolved,"Ammonia, as Nitrogen",mg/L,476.30892209105303,476.30892209105303
ORANGE CO,Total,Nitrate + Nitrite as N,mg/L,3464.7815201446047,3464.7815201446047
ORANGE CO,Dissolved,Nitrate + Nitrite as N,mg/L,3464.7815201446047,3464.7815201446047
ORANGE CO,Total,"Nitrogen, Total Kjeldahl",mg/L,1425.6744278926558,1425.6744278926558
ORANGE CO,Dissolved,"Nitrogen, Total Kjeldahl",mg/L,1425.6744278926558,1425.6744278926558
ORANGE CO,Total,Orthophosphate as P,mg/L,251.16723376264193,251.16723376264193
ORANGE CO,Dissolved,Orthophosphate as P,mg/L,251.16723376264193,251.16723376264193
ORANGE CO,Dissolved,pH,NA,NA,NA
ORANGE CO,Total,pH,NA,NA,NA
ORANGE CO,Total,Phosphorus as PO4,mg/L,1227.5098469952097,1227.5098469952097
ORANGE CO,Dissolved,Phosphorus as PO4,mg/L,1227.5098469952097,1227.5098469952097
ORANGE CO,Total,Sulfate,mg/L,814770.2583108882,814770.2583108882
ORANGE CO,Dissolved,Sulfate,mg/L,814770.2583108882,814770.2583108882
ORANGE CO,Total,Total Dissolved Solids,mg/L,2267613.6104797004,2267613.6104797004
ORANGE CO,Dissolved,Total Dissolved Solids,mg/L,2267613.6104797004,2267613.6104797004
ORANGE CO,Total,VSS,mg/L,4922.301761346356,4922.301761346356
ORANGE CO,Dissolved,VSS,mg/L,4922.301761346356,4922.301761346356
ORANGE CO,Total,TSS,mg/L,8602.011036239137,8602.011036239137
ORANGE CO,Dissolved,TSS,mg/L,8602.011036239137,8602.011036239137
ORANGE CO,Total,E. coli,CFU/100 mL,7475195618565.182,7475195618565.182
ORANGE CO,Dissolved,E. coli,CFU/100 mL,7475195618565.182,7475195618565.182
ORANGE CO,Total,Enterococcus,CFU/100 mL,22834343545023.313,22834343545023.313
ORANGE CO,Dissolved,Enterococcus,CFU/100 mL,22834343545023.313,22834343545023.313
ORANGE CO,Total,Fecal coliforms,CFU/100 mL,11199405918538.543,11199405918538.543
ORANGE CO,Dissolved,Fecal coliforms,CFU/100 mL,11199405918538.543,11199405918538.543
ORANGE CO,Total,Total Coliforms,CFU/100 mL,565059855540805.1,565059855540805.1
ORANGE CO,Dissolved,Total Coliforms,CFU/100 mL,565059855540805.1,565059855540805.1
SAN CLEMENTE,Total,"2,4'-DDD",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,"2,4'-DDD",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,"2,4'-DDE",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,"2,4'-DDE",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,"2,4'-DDT",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,"2,4'-DDT",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,"4,4'-DDD",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,"4,4'-DDD",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,"4,4'-DDE",ng/L,7.824194682461902e-4,7.824194682461902e-4
