globalid,facilityid,area_acres
{CDBBE0EA-752D-473B-BD44-FEF6F6544FA3},L01-218-2,32.56312287
{4F26FCB9-5BA4-4B87-8D7B-1B2AE59A3148},L01-218-3,58.59506433
{27E0314C-47B2-4423-97FF-E7AF2ECE021E},L01-218-4,37.33151421
{83D29CE8-8201-4356-988F-FF1772927666},L01-223-1 (L08TBN1),136.87916674
{5FF0532F-916F-4D4F-8A64-F89598C803EF},L01-261-1,149.63865359
{0664A6AC-698C-4C23-8079-A3EFB7467800},L01-335-1,442.4725473
{121A33C7-3655-4BEC-9015-9A9C1D44AF68},L01-340-1,169.47171779
{BB0985B7-62BF-413B-B797-A110822B7E50},L01-372-1,117.6149137
{0E508B47-C465-42FA-B968-85F7699E5599},L01-391-1,29.95853952
{FD3571D1-8650-4B1F-9706-CE5778C14A0C},L01-391-2,12.51017855
{7DD54E6B-8AF9-43BA-B14E-1BFE96461A0A},L01-391-3,85.50832944
{CD3184BB-09AB-4159-A220-73BB5D18571B},L01-404-1,237.79044171
{9346202B-5D98-47FD-AAFA-1F2477EE8A87},L01-414-1,41.37487005
{07CEB263-10A0-4D79-9DAE-CF01C67D82FC},L01-414-2,6.92037064
{CA5079A8-BAD0-45D3-A66E-203924A07825},L01-414-3,86.8482772
{788FEC4A-C984-49D0-A530-528175488A10},L01-471-1,319.331511
{C78B155F-F8BE-47DB-88C5-470731CBBCAF},L01-494-1,298.6999359
{DC500A67-29B3-4AEA-842C-DE48BCAC72CA},L01-517-1,163.63320429
{DAE5541C-6AB7-4066-9FD1-C6C474563B81},L01-517-3,603.8362612
{7C9327E3-9DE9-4357-8CFF-D3463A7226F0},L01-517-6,13.85397146
{7DE5EE92-B520-4286-BF4B-929D15B95F7A},L01-551-1,173.89040322
{E59064BB-BCEF-44B3-AB9F-E38A453E56CF},L01-556-1,96.73680063
{6C3692CA-E71D-4C40-BD4A-0FDEEAA25FFA},L01-601-1,10.8002002
{0E415719-8E6F-4DD3-816E-BCD493B483D9},L01-601-2,2.62733872
{880C460A-262E-494B-B13D-7EAF8DBC9A94},L01-602-2,62.42339564
{9ABE5265-1DE5-430D-A2E0-66CCCD5FC888},L01-618-1,92.62287102
{DE5E33FB-A89C-469E-8953-841FB956C124},L01-618-2,399.49209345
{9731ACD2-32AF-4782-90A2-55CA2967130E},L01-618-3,6.92800257
{692EFC52-6247-4457-8EF3-832C0E829E0B},L01-618-4,108.67944992
{C3144C94-67C4-4BA4-9178-D56A564A52D8},L01-618-5 (L01S09),393.00595298
{54416EC2-5F26-4018-BF93-48257D150815},L01-724-3,23.47315752
{F13D3E12-3DEB-4023-85C5-D538B01B6C9F},L01-726-1,0.89653213
{5E6ECD68-C7F9-46BB-9384-4EEC613440E3},L01-726-2,2.51489735
{76F0605C-1055-49AC-B0BE-07603FD132FA},L01-726-3,11.88573163
{0F8FBA95-1B40-45E0-9541-D55286681706},L01-726-4,1.16394584
{47842A85-4480-41E7-90F9-3E346AE4942C},L01-726-5,68.90709888
{995DC95B-EB2A-4C88-9713-6B939B6379BF},L01-726-6,6.21310567
{E2D8498B-1BA7-4F90-8681-72DB7682DFDB},L01-726-7,5.74416805
{5EE91B00-E3AE-47DF-B089-5DFCC475365E},L01-726-8,32.32890123
{AF418A9F-F71C-4D71-89AB-7261C489E9BB},L01-726-9,89.27240799
{460FC0BF-5206-4ADA-BB7A-A2D423FB90D7},L01-727-2,0.72723724
{2918ED97-903E-41C5-A34B-198DD4410A0E},L01-727-3,4.74021882
{363D3BCA-9E1F-46B3-806B-FDE78620CC69},L01-728-1,3.06934322
{672E3434-4028-414F-81E8-44EAFE9EF4D2},L01-728-2,95.97299313
{2400F7EE-594F-4759-ABF8-0CC2252FC2C8},L01-728-3 (L01S02),1014.01862168
{5307EE5E-3309-4057-8EFD-C8181CB58E73},L01-728-6,4.46590424
{F09621B7-22BD-4ABC-847C-66EE7DD837C1},L01-728-7 (L01S03),185.67562068
{3E41B9F9-7569-48A8-BC17-EB265E8212BA},L01-728-8,45.20478124
{8B4950D3-D744-4685-90D1-A81BED748CF7},L01-730-1,32.58238943
{215854B6-2787-4CEA-865A-2964F1466C78},L01-733-2,120.42916661
{8D945834-27DD-4011-BC21-63CCB52B899B},L01-733-4,50.68731652
{6F2EF525-62E0-4432-B089-D3192C215AC7},L01-747-1,132.61552692
{18F40F68-19AB-4B49-9E1F-4E1691311CCF},L01-747-2,240.61672041
{0DE5C7B6-1F8E-4AD4-94FE-7C7EB3616A72},L01-748-1,99.91794386
{07552BA7-CFB0-4CE7-BEB8-5BE5EFFD5A8C},L01-749-1,3.57258497
{8868597B-54A8-4AC5-9D85-A430986FF837},L01-749-2,106.42072273
{15FBCB7A-626E-4266-BA4B-701E2A4D25DB},L01-749-3,41.93011742
{5D491654-EA32-4575-8790-3DD0814CE332},L01-759-1,19.42310954
{64CC63BF-61A6-4E9A-9739-7F1FE97A1965},L01-760-1,33.51045004
{69662101-8838-46F3-95F3-C78DD1ADFDAC},L01-760-2,32.57431395
{11482F01-2AAA-40A9-9343-FACA1824C057},L01-760-3,13.17600309
{11385C93-882D-40F9-9103-8B96717687A1},L01-766-3,369.98019559
{AD01E28D-6914-497B-A154-A8917A5348A0},L01-766-5,63.97582891
{82F1C749-CA7F-4D61-8E5F-F7A0021F42B2},L01-766-7,56.73310957
{C1C5A23A-159C-46C1-A5DD-07AA18EAE797},L02-108-1,1.14937032
{D6EF1DF7-533F-4B7B-B16F-C947417EFC58},L02-204-1 (L02P45),53.98208335
{CE6408C7-669B-4D53-8783-2A2CE81A318C},L02-246-1 (L11P01),228.03010278
{0F38835B-4421-4447-BF76-6BBBB40C6D53},L02-344-1,178.3182714
{8F6186AF-D716-43CD-9B08-E9578FBC9559},L02-359-1 (L02P43),92.45754976
{17C8CB61-E899-4261-9005-D40C72835056},L02-374-2 (MVL02P20),84.33765496
{F9A060A1-E3EB-4CF8-A77E-754832FF17E0},L02-396-1,193.73528575
{1B9D1A3F-07D4-4D0E-8632-028C700D4047},L02-401-1,199.48492042
{E5A006FA-00F5-4823-8755-C69AD19D2CD1},L02-412-1,44.54722616
{75FAD9A7-B5D4-4D1F-9224-18F2158819D8},L02-502-6,39.57525956
{FD2583A1-EF2E-474F-9664-604BFA723FCA},L02-541-1,1.67926635
{022873C6-E9C2-46E3-8397-88C66F2B4574},L02-541-2,7.06807992
{6015D218-6B78-4F4B-9585-543AF764E600},L02-541-3,6.30112368
{0C40543B-EF18-4C40-BDC5-DAEE25BC6271},L02-541-6,17.62492719
{762BB3A3-2BA5-45EC-8B70-C0357052F700},L02-541-7,24.77553865
{70564560-25A4-4BFD-B3C9-C15589253888},L02-541-8,3.24299984
{3AE48222-AF69-4B8E-9CCF-2D3EAC98502E},L02-541-9 (L02P02),222.36515452
{F948E63E-0518-431B-BFDA-450D9D6C6AE3},L02-571-2,4.52482125
{887B5CB1-9D07-4F24-9B33-CF902EA0F258},L02-571-4,3.1961544
{464719DF-77BF-4D96-B284-D4B0193B210C},L02-622-1 (L02P28),256.93195174
{B5687C09-8C1A-4598-BE27-90872B480788},L02-622-2,571.54189287
{253C7D2F-94CC-45D1-AB0B-55473CA10B03},L02-640-1 (L11P02),508.84556392
{11AB1ABB-8C47-4C4E-A5A6-18C9922320F8},L02-641-1,926.34500026
{7825C11A-B715-43E9-A334-7273A257CBAD},L02-641-2,926.34500026
{59163825-AAB9-485A-BCFD-127A9DFB0F50},L03-142-1 (L03P24),255.6287671
{69C9CC3D-8B7B-4050-ACB4-C9F1B3A83E8F},L03-281-1,12.41161186
{776FC4CC-606C-47B7-B059-4A29DBEF0641},L03-316-1,22.65150986
{FC0497E6-D74A-4029-BFC4-06AE3C768AE7},L03-316-2,143.04145576
{81D402F9-F8B2-41EF-BB7F-937380B3DD69},L03-418-1,123.71430811
{9597BF60-251C-4E7E-A9D2-0F0B2D529890},L03-418-3,6.6378544
{9CD47ABB-49BB-4489-ADF5-B137D4B3D618},L03-418-4,7.69271804
{533B3003-2487-4083-AA81-2C106A95C681},L03-418-8,210.54842175
{B1FFD6DD-4CA7-4D34-8331-4D958B3F2E63},L03-455-1,82.44803024
{85ECB26C-EEF3-4828-BA8B-C950CC35B08A},L03-455-2,45.63681477
