FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
J04-9249-1,LAGUNA HILLS,1435.670475,1180.63964,71.83884675
J04-9249-1,LAGUNA NIGUEL,330.2274496,330.2219199,20.09314366
J05-9255-1 (J05P01),LAGUNA HILLS,85.17570945,70.04519538,100
J05-9271-1,LAGUNA HILLS,2.193669349,1.803988474,100
J05-9271-2,LAGUNA HILLS,4.874242679,4.008387872,100
J05-9271-3,LAGUNA HILLS,2.087138698,1.716381805,100
J05-9271-4,LAGUNA HILLS,3.225692533,2.652684259,100
J05-9271-5,LAGUNA HILLS,8.825563564,7.257800706,100.0000005
J05-9271-7,LAGUNA HILLS,10.72447678,8.819393184,100
J05-9800-1,LAGUNA HILLS,25.66557693,21.10637366,99.99999542
J05-9800-2,LAGUNA HILLS,30.97537965,25.47294919,100.0000004
J06-10011-1 (J06P01),ALISO VIEJO,143.1188236,139.1233826,14.86516439
J06-10011-1 (J06P01),LAGUNA HILLS,237.2873008,195.1358603,20.85002958
J06-10011-1 (J06P01),LAGUNA WOODS,829.0781602,357.1633736,38.1624725
J06-10011-1 (J06P01),LAKE FOREST,693.7997852,214.9005429,22.96186189
J06-9079-1 (J06P03),ALISO VIEJO,368.9742325,358.6735973,98.05519597
J06-9362-1,ALISO VIEJO,522.1362586,507.5598068,37.34878281
J06-9362-1,LAGUNA HILLS,294.9860792,242.5850948,17.85062154
J06-9362-1,LAGUNA WOODS,829.2435086,357.234605,26.28710449
J06-9362-1,LAKE FOREST,693.7997852,214.9005429,15.81345409
J07-9019-2,MISSION VIEJO,0.938432966,0.938428541,100
J07-9019-3,MISSION VIEJO,20.81821731,20.81811914,100
J07-9022-1,MISSION VIEJO,82.52428975,82.52390061,100
J07-9022-2,MISSION VIEJO,41.72524373,41.72504697,100.0000003
J07-9022-3,MISSION VIEJO,46.75895321,46.75873272,100
J07-9022-4,MISSION VIEJO,42.07579518,42.07559678,100
J07-9109-2,LAKE FOREST,12.48046884,3.865754338,1.91711778
J07-9109-2,MISSION VIEJO,197.7792499,197.7783173,98.08288254
J07-9109-3,LAKE FOREST,2.878898658,0.891722508,3.902261809
J07-9109-3,MISSION VIEJO,21.95980683,21.95970327,96.09773294
J07-9109-4 (J07P02),LAKE FOREST,16.25802004,5.035829366,1.275132081
J07-9109-4 (J07P02),MISSION VIEJO,389.8921068,389.8902683,98.72486798
J07-9110-1,LAKE FOREST,0.645792876,0.200030675,0.19588078
J07-9110-1,MISSION VIEJO,101.9190319,101.9185513,99.80411911
J07-9110-2,MISSION VIEJO,133.3916332,133.3910042,100
J07-9110-3,MISSION VIEJO,61.68033046,61.68003961,100
K01-12032-1,LAGUNA NIGUEL,2.463362289,2.46332104,100
K01-12032-2 (K01P11),LAGUNA NIGUEL,126.8494862,126.8473621,100
K01-12032-3,LAGUNA NIGUEL,18.12935121,18.12904763,100
K01-12036-1,LAGUNA NIGUEL,137.8077479,137.8054403,100
K01-12036-10,LAGUNA NIGUEL,185.3749187,185.3718146,100
K01-12036-5,LAGUNA NIGUEL,28.076756,28.07628585,100
K01-12036-8,LAGUNA NIGUEL,17.60128355,17.60098882,100
K01-12036-9,LAGUNA NIGUEL,30.9436459,30.94312774,100
K01-12046-2,DANA POINT,75.79726314,75.79106268,2.493296834
K01-12046-2,LAGUNA BEACH,0.268045272,0.26773434,0.00880765
K01-12046-2,LAGUNA NIGUEL,2947.44047,2947.391114,96.96025724
K01-12046-2,SAN JUAN CAPISTRANO,16.3431028,16.3430911,0.537638289
K01-12058-1 (K01P08),LAGUNA NIGUEL,322.1929942,322.187599,97.77433651
K01-12058-1 (K01P08),SAN JUAN CAPISTRANO,7.334047756,7.334042507,2.225663378
K01-12058-2 (K01P09),LAGUNA NIGUEL,294.0486386,294.0437147,97.02723437
K01-12058-2 (K01P09),SAN JUAN CAPISTRANO,9.00905504,9.009048593,2.9727657
K01-12062-1,LAGUNA NIGUEL,249.8365197,249.8323362,96.51947141
K01-12062-1,SAN JUAN CAPISTRANO,9.00905504,9.009048593,3.480528667
K01-12126-1 (K01S01),DANA POINT,240.5645176,240.5448387,27.17243026
K01-12126-1 (K01S01),LAGUNA NIGUEL,644.7192687,644.7084728,72.82756974
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,90.8337827,90.83226167,100
K01-12155-1,LAGUNA NIGUEL,63.75921047,63.75814281,100
K01-12155-2,LAGUNA NIGUEL,13.18584755,13.18562676,100
