Accessibility,Facility Identifier,JURISDICTI,Area (Acres),SIZE1,INSPECTED,GlobalID,PERSISTENTFLOW,POINT_Y,POINT_X
Easily accessible,J01-9364-3 (J01P21),ORANGE CO,167.8733715,66,1,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},Yes,33.54985427,-117.7212902
Easily accessible,J01-9364-4,ORANGE CO,42.33257611,42,1,{51AB1EDB-AED9-40F1-83A8-6391511D250C},Unknown,33.54433919,-117.7272411
Easily accessible,J01-9377-1,LAKE FOREST,34.4468196,36,1,{3B4E9F27-523C-4F6B-A986-26E060B631EF},Unknown,33.65809197,-117.6577684
Easily accessible,J01-9377-2 (J01TBN8),LAKE FOREST,98.41839547,48,1,{0F35296A-ECE2-4C19-BD75-E6442A50F57C},Unknown,33.66001815,-117.653411
Easily accessible,J01-9782-1 (J01TBN3),LAKE FOREST,30.80686795,42,1,{91E48869-6AD5-41B7-8A9B-640ED2238B02},Unknown,33.63275609,-117.6769216
Easily accessible,J01-9785-1,LAKE FOREST,21.25657462,60,1,{91338D15-19F3-4699-83FA-4C17B2C07214},Yes,33.61716175,-117.693665
Easily accessible,J01-9992-1 (J01P27),ALISO VIEJO,553.8410757,90,1,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},Yes,33.57325594,-117.7166123
Easily accessible,J03-9215-1,LAGUNA NIGUEL,65.12825351,36,1,{58BF1710-6532-44A0-A4C2-487B6E14647C},Yes,33.53115836,-117.7056626
Easily accessible,J03-9215-3,LAGUNA NIGUEL,155.2875589,54,1,{096C0676-4771-492B-BAA6-AA39CD7F88A8},Yes,33.53410231,-117.7015748
Easily accessible,J03-9216-1 (J03P01),LAGUNA NIGUEL,13.41168034,36,1,{B312B909-A14D-4AAA-BB21-74D113055A73},Unknown,33.5307754,-117.7082473
Easily accessible,J03-9216-2,LAGUNA NIGUEL,1123.285969,NA,1,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},Yes,33.5280069,-117.7100766
Difficult accessibility,J03-9216-5,LAGUNA NIGUEL,NA,36,1,{17A4B537-06CB-4914-A505-354A1A88B51B},Yes,33.5281727,-117.7097701
Easily accessible,J03-9221-1 (J03P02),LAGUNA NIGUEL,565.7093729,72,1,{B349E3D1-F18C-44B9-A54D-9A854691EE96},Yes,33.54994727,-117.7171712
Easily accessible,J03-9234-5,LAGUNA NIGUEL,131.4996918,48,1,{0C213075-F3BE-4202-976F-D3228FB0F4F4},Yes,33.51976015,-117.7070197
Easily accessible,J03-9234-6,LAGUNA NIGUEL,232.0907817,78,1,{7C898AE5-6408-40A7-9258-052F87B864B0},Yes,33.5196409,-117.7065275
Easily accessible,J03-9234-8,LAGUNA NIGUEL,NA,78,1,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},Yes,33.51992,-117.715433
Easily accessible,J03-9368-1 (J03TBN1),LAGUNA NIGUEL,92.34354303,48,1,{AAC8234A-5800-4230-971C-633C406E3E23},Yes,33.5378206,-117.6974991
