LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,jurisdicti,acres_juris_soc,objectid,shape_area,acres,percentage
TROTH,62,Streets and Roads,surface street,0.471,DANA POINT,4071.5603518392577,33,1472097.0901785584,33.79483421911351,0.8300183742737752
TROTH,62,Streets and Roads,surface street,0.471,LAGUNA HILLS,3498.3869598294223,73,425816.3135274468,9.77543656560631,0.27942584900258677
TROTH,62,Streets and Roads,surface street,0.471,LAGUNA NIGUEL,9463.77397689814,90,739707.4508366843,16.981414363529943,0.17943524939831929
TROTH,62,Streets and Roads,surface street,0.471,LAGUNA WOODS,756.0075788948667,103,2735.41582009588,0.06279675761689592,0.00830633292352871
TROTH,62,Streets and Roads,surface street,0.471,LAKE FOREST,3303.943394927112,119,258292.29874360625,5.929598987968337,0.1794696385749343
TROTH,62,Streets and Roads,surface street,0.471,MISSION VIEJO,11525.934391435894,135,2473400.442175936,56.781688149848165,0.4926408488453046
TROTH,62,Streets and Roads,surface street,0.471,ORANGE CO,94761.16101626148,161,3259030.6719754916,74.81734867165493,0.0789532848692309
TROTH,62,Streets and Roads,surface street,0.471,SAN CLEMENTE,11739.016173821115,196,2431456.6118507176,55.81878644872229,0.47549609223879713
TROTH,62,Streets and Roads,surface street,0.471,SAN JUAN CAPISTRANO,9220.309393249185,215,1252298.2559229282,28.748927115036267,0.3117987791222251
OSAGIR,70,Agriculture,agriculture,0.222,ALISO VIEJO,4298.475848550746,4,443965.5022809655,10.192086275213551,0.23710835807872505
OSAGIR,70,Agriculture,agriculture,0.222,DANA POINT,4071.5603518392577,22,1362323.7003920472,31.27477386830112,0.7681244060450426
OSAGIR,70,Agriculture,agriculture,0.222,IRVINE,96.05123754093846,36,76395.64156083883,1.753809622229611,1.8259031865681483
OSAGIR,70,Agriculture,agriculture,0.222,LAGUNA BEACH,5632.041056195566,45,7001047.05046612,160.72256783145858,2.853706557501509
OSAGIR,70,Agriculture,agriculture,0.222,LAGUNA HILLS,3498.3869598294223,62,472291.37037227815,10.842361330198054,0.3099233471109429
OSAGIR,70,Agriculture,agriculture,0.222,LAGUNA NIGUEL,9463.77397689814,78,38430.57392794705,0.8822481095202924,0.00932233359212736
OSAGIR,70,Agriculture,agriculture,0.222,LAKE FOREST,3303.943394927112,107,406134.93315436575,9.323612435697246,0.28219536556226266
OSAGIR,70,Agriculture,agriculture,0.222,NEWPORT BEACH,130.0087677517211,138,45964.12115555963,1.055195248223045,0.8116306659112257
OSAGIR,70,Agriculture,agriculture,0.222,ORANGE CO,94761.16101626148,148,38938960.47357784,893.919105369307,0.9433353497463596
OSAGIR,70,Agriculture,agriculture,0.222,RANCHO SANTA MARGARITA,8280.210526037783,167,7267.381164161732,0.16683678222620751,0.00201487769369047
OSAGIR,70,Agriculture,agriculture,0.222,SAN CLEMENTE,11739.016173821115,184,261092.6988350547,5.993887585146538,0.05105933513395216
OSAGIR,70,Agriculture,agriculture,0.222,SAN JUAN CAPISTRANO,9220.309393249185,202,15680668.78228902,359.9800621017521,3.9041924389924305
OSAGNI,71,Agriculture,agriculture,0.222,ALISO VIEJO,4298.475848550746,5,109847.38352970198,2.521759020214745,0.05866611845775454
OSAGNI,71,Agriculture,agriculture,0.222,LAGUNA BEACH,5632.041056195566,46,96866.8926600144,2.2237667614496663,0.03948404928520992
OSAGNI,71,Agriculture,agriculture,0.222,LAGUNA HILLS,3498.3869598294223,63,15622.933077804091,0.3586546274041295,0.0102519588857758
OSAGNI,71,Agriculture,agriculture,0.222,LAGUNA NIGUEL,9463.77397689814,79,29792.472316492927,0.6839437898700576,0.00722693774985741
OSAGNI,71,Agriculture,agriculture,0.222,MISSION VIEJO,11525.934391435894,124,43806.92094962958,1.0056725477006214,0.00872526678411161
OSAGNI,71,Agriculture,agriculture,0.222,ORANGE CO,94761.16101626148,149,5505838.095800958,126.39715608859991,0.1333844469030839
OSAGNI,71,Agriculture,agriculture,0.222,RANCHO SANTA MARGARITA,8280.210526037783,168,942437.3128230956,21.63547021541911,0.2612902607438615
OSAGNI,71,Agriculture,agriculture,0.222,SAN JUAN CAPISTRANO,9220.309393249185,203,2216248.5001847087,50.878268255401856,0.5518043112499417
OSDEV,75,Developed Open Space,developed open space,0.217,ALISO VIEJO,4298.475848550746,6,27172653.243004944,623.8007790161615,14.512080695436676
OSDEV,75,Developed Open Space,developed open space,0.217,DANA POINT,4071.5603518392577,23,28071911.240833767,644.4449845917262,15.827897688493056
OSDEV,75,Developed Open Space,developed open space,0.217,IRVINE,96.05123754093846,37,237946.62622952583,5.462524747908314,5.687071856313119
OSDEV,75,Developed Open Space,developed open space,0.217,LAGUNA BEACH,5632.041056195566,47,13616870.541611165,312.60158423454396,5.550391602447202
OSDEV,75,Developed Open Space,developed open space,0.217,LAGUNA HILLS,3498.3869598294223,64,13470759.63721895,309.24732599676656,8.839676472604335
OSDEV,75,Developed Open Space,developed open space,0.217,LAGUNA NIGUEL,9463.77397689814,80,82173314.56897339,1886.4472741785528,19.93327115590417
OSDEV,75,Developed Open Space,developed open space,0.217,LAGUNA WOODS,756.0075788948667,94,1432439.3631479626,32.88441443807633,4.349729264436795
OSDEV,75,Developed Open Space,developed open space,0.217,LAKE FOREST,3303.943394927112,108,21365578.278387,490.488148323152,14.84547789546319
OSDEV,75,Developed Open Space,developed open space,0.217,MISSION VIEJO,11525.934391435894,125,69171574.79912983,1587.9672058369858,13.77728520782155
