Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Parameter,Units,Qualifier,Result,LSPC_LU_DESC,RC_Group,EMC_Group,AREA,...1,EMC
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,UTIL,Commercial,business,3.6551815526736577,17,0.0137
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,RESSFH,Single Family Residential,single family,452.1688058260691,35,0.0148
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,RESMF,Multi-family Residential,multi-family,115.20270581174584,26,0.0147
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,TRANS,Streets and Roads,surface street,204.1380336979585,53,0.0176
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,OSAGIR,Agriculture,agriculture,0.06187776796083837,8,0.0113
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,OSAGNI,Agriculture,agriculture,0.2094004862065627,8,0.0113
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,OSDEV,Developed Open Space,developed open space,246.8853048999702,62,6e-4
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,OSIRR,Developed Open Space,developed open space,100.26423486957822,62,6e-4
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,OSLOW,Open Space,open space,249.8212098945532,71,6e-4
K01-12156-4,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.00409999999999999,OSFOR,Open Space,open space,0.6688807639017189,71,6e-4
K01-12156-4,2022-11-09T10:00:00Z,2572004,Total,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,"Copper, Total",mg/L,NA,0.013,COMM,Commercial,business,28.98139562922192,14,0.0254
